game,flagSide,team,result,top,jungle,mid,carry,supp,ban1,ban2,ban3,ban4,ban5,firstBlood,firstTower,firstHerald,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35
ESPORTSTMNT03_2544300,0,RED Academy,1,104,5,7,51,99,124,131,118,126,23,1,1.0,0.0,first_blood,,,first_tower_bot,dragon,,first_tower_mid,first_tower_top,,second_tower_bot,dragon,dragon,,,,,dragon,second_tower_mid,third_tower_bot,inhibitor_bot,nexus_tower,nexus_tower,nexus,,,,,,,,,,,,
ESPORTSTMNT03_2544345,1,FURIA Academy,0,104,64,112,110,43,123,51,111,89,223,0,0.0,1.0,,,,herald,,,first_tower_mid,,,first_tower_bot,,herald,,second_tower_mid,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2544345,0,Liberty Academy,1,58,59,103,222,71,13,4,124,118,134,1,1.0,0.0,first_blood,dragon,dragon,,first_tower_top,first_tower_bot,,dragon,first_tower_mid,,second_tower_top,,second_tower_bot,,dragon,baron,second_tower_mid,third_tower_bot,third_tower_mid,inhibitor_mid,inhibitor_bot,nexus_tower,nexus_tower,nexus,,,,,,,,,,,
ESPORTSTMNT03_2544371,1,LOUD Academy,1,109,64,13,124,201,523,4,236,40,7,0,0.0,0.0,,dragon,,,,first_tower_bot,,dragon,,,,dragon,,dragon,,,,,,,elder_dragon,baron,first_tower_mid,second_tower_mid,inhibitor_mid,first_tower_top,second_tower_bot,,inhibitor_bot,nexus_tower,nexus_tower,nexus,,,
ESPORTSTMNT03_2544371,0,paiN Gaming Academy,0,126,106,61,18,111,5,51,350,117,26,1,1.0,1.0,first_blood,,herald,first_tower_top,dragon,,second_tower_top,,first_tower_mid,first_tower_bot,second_tower_mid,,second_tower_bot,,baron,third_tower_top,inhibitor_top,third_tower_bot,inhibitor_bot,nexus_tower,,,,,,,,inhibitor_top,,,,,,,
ESPORTSTMNT03_2544412,1,Netshoes Miners Academy,1,104,5,517,81,43,109,84,111,164,39,1,1.0,1.0,first_blood,dragon,herald,dragon,first_tower_bot,,first_tower_top,first_tower_mid,second_tower_mid,second_tower_bot,dragon,baron,third_tower_bot,third_tower_mid,inhibitor_mid,inhibitor_bot,dragon,second_tower_top,nexus_tower,nexus_tower,nexus,,,,,,,,,,,,,,
ESPORTSTMNT03_2544412,0,KaBuM! Academy,0,85,64,4,222,89,51,58,124,134,13,0,0.0,0.0,,,,,,first_tower_bot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2564697,1,Liberty Academy,0,14,64,112,523,43,111,109,4,59,5,0,0.0,1.0,,dragon,herald,dragon,,,,,first_tower_bot,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2564697,0,Flamengo Academy,1,118,78,142,81,223,124,222,51,13,164,1,1.0,0.0,first_blood,,,,first_tower_top,first_tower_bot,second_tower_bot,herald,,dragon,first_tower_mid,second_tower_mid,third_tower_bot,baron,third_tower_mid,inhibitor_mid,inhibitor_bot,second_tower_top,third_tower_top,dragon,inhibitor_bot,inhibitor_mid,inhibitor_top,nexus_tower,nexus_tower,nexus,,,,,,,,,
ESPORTSTMNT03_2564761,1,KaBuM! Academy,1,104,64,134,222,12,58,51,4,43,117,0,0.0,0.0,,dragon,,dragon,,,first_tower_bot,,,,first_tower_top,first_tower_mid,dragon,dragon,,,baron,,,second_tower_bot,third_tower_bot,inhibitor_bot,nexus_tower,nexus_tower,nexus,,,,,,,,,,
ESPORTSTMNT03_2564761,0,FURIA Academy,0,118,5,13,523,111,223,124,59,89,201,1,1.0,1.0,first_blood,,herald,,herald,first_tower_mid,,second_tower_mid,first_tower_top,first_tower_bot,,,,,second_tower_bot,third_tower_bot,,inhibitor_bot,third_tower_mid,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2564782,1,Netshoes Miners Academy,0,58,120,103,51,99,5,13,111,109,82,1,0.0,0.0,first_blood,dragon,,,dragon,first_tower_bot,herald,,first_tower_top,,,first_tower_mid,,second_tower_mid,second_tower_bot,,,,third_tower_mid,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2564782,0,LOUD Academy,1,104,64,123,202,89,124,4,43,59,106,0,1.0,1.0,,,herald,first_tower_bot,,,,first_tower_top,,dragon,first_tower_mid,,dragon,,,dragon,second_tower_bot,baron,,third_tower_bot,second_tower_mid,inhibitor_bot,nexus_tower,nexus_tower,nexus,,,,,,,,,,
ESPORTSTMNT03_2564812,1,RED Academy,0,104,48,42,81,43,235,109,4,111,126,1,0.0,1.0,,herald,first_blood,,,first_tower_top,,,herald,,,,,,,,,first_tower_mid,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2564812,0,INTZ Academy,1,39,120,112,222,53,64,51,124,59,5,0,1.0,0.0,dragon,,,dragon,first_tower_bot,,first_tower_top,dragon,,first_tower_mid,dragon,baron,second_tower_top,second_tower_mid,second_tower_bot,third_tower_bot,inhibitor_bot,,elder_dragon,third_tower_top,nexus_tower,nexus_tower,nexus,,,,,,,,,,,,
ESPORTSTMNT03_2564859,1,Rensga Academy,0,104,2,13,110,12,126,412,59,109,150,0,0.0,0.0,,,dragon,,,,,,,,,,,,first_tower_bot,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2564859,0,paiN Gaming Academy,1,118,5,103,222,223,64,51,124,106,201,1,1.0,1.0,first_blood,herald,,first_tower_bot,second_tower_bot,herald,first_tower_top,first_tower_mid,second_tower_mid,dragon,baron,second_tower_top,third_tower_top,inhibitor_top,,third_tower_mid,inhibitor_mid,third_tower_bot,nexus_tower,inhibitor_bot,nexus_tower,nexus,,,,,,,,,,,,,
ESPORTSTMNT03_2566738,1,FURIA Esports,0,150,64,45,523,89,23,13,222,5,164,1,1.0,1.0,first_blood,herald,,dragon,first_tower_bot,herald,first_tower_top,first_tower_mid,baron,dragon,,second_tower_bot,second_tower_mid,,second_tower_top,,,,,,,,,baron,third_tower_mid,inhibitor_mid,dragon,third_tower_top,inhibitor_top,nexus_tower,,,,,
ESPORTSTMNT03_2566738,0,Netshoes Miners,1,104,108,123,81,201,109,51,124,142,4,0,0.0,0.0,,,dragon,,,,,,,,first_tower_top,,,first_tower_bot,,dragon,baron,first_tower_mid,second_tower_mid,third_tower_mid,inhibitor_mid,second_tower_bot,dragon,,,,,,,,inhibitor_mid,nexus_tower,nexus_tower,nexus,
ESPORTSTMNT03_2566789,1,paiN Gaming,0,104,64,13,222,111,109,43,54,164,134,1,1.0,0.0,first_blood,dragon,,first_tower_bot,,dragon,,,,,first_tower_top,,,,,,,,,,,,,,,,,,,,,,,,
