golId,result,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,BLUE:kill,BLUE:plateBLUE:first_blood,BLUE:dragon,BLUE:herald,BLUE:first_tower_top,BLUE:first_tower_mid,BLUE:first_tower_bot,BLUE:second_tower_top,BLUE:second_tower_mid,BLUE:second_tower_bot,BLUE:third_tower_top,BLUE:third_tower_mid,BLUE:third_tower_bot,BLUE:inhibitor_top,BLUE:inhibitor_mid,BLUE:inhibitor_bot,BLUE:baron,BLUE:elder_dragon,BLUE:nexus_tower,BLUE:nexus,RED:kill,RED:plate,RED:first_blood,RED:dragon,RED:herald,RED:first_tower_top,RED:first_tower_mid,RED:first_tower_bot,RED:second_tower_top,RED:second_tower_mid,RED:second_tower_bot,RED:third_tower_top,RED:third_tower_mid,RED:third_tower_bot,RED:inhibitor_top,RED:inhibitor_mid,RED:inhibitor_bot,RED:baron,RED:elder_dragon,RED:nexus_tower,RED:nexus
41187,1,0,0.0,0.0,0,0.0,0.0,2,0.5,8.67,1,1.0,14.0,0,0.0,0.0,1,1.0,6.0,2,1.0,10.5,1,0.0,1.5,0,0.0,0.0,0,0.0,0.0,10,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41188,0,2,0.5,2.5,1,1.0,0.67,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.0,0.2,4,0.5,7.33,2,0.5,1.88,0,0.0,0.0,2,0.5,7.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,2,1
41192,0,0,0.0,0.0,0,0.0,0.0,2,1.0,7.67,0,0.0,0.0,0,0.0,0.0,2,0.5,5.25,1,0.0,1.75,1,1.0,1.5,5,0.2,3.07,1,1.0,17.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,2,0,2,1
41191,1,3,0.67,3.25,0,0.0,0.0,1,1.0,6.5,0,0.0,0.0,1,0.0,5.67,2,0.5,3.5,2,0.5,2.12,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41190,1,4,0.25,3.89,5,0.2,5.62,2,1.0,10.5,3,0.33,8.75,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,3.5,9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47226,1,7,0.57,4.25,10,0.7,3.52,10,0.6,2.88,7,0.86,6.82,9,0.67,11.0,4,0.0,0.82,5,0.2,1.06,6,0.33,2.79,12,0.75,1.62,6,0.83,2.19,4,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41193,1,9,0.56,6.21,1,1.0,7.0,3,0.67,2.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,14,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41195,1,1,1.0,0.75,1,0.0,6.0,0,0.0,0.0,3,0.67,3.14,4,0.5,3.78,0,0.0,0.0,0,0.0,0.0,1,0.0,9.0,0,0.0,0.0,0,0.0,0.0,8,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,2,0,2,1,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
47273,1,6,0.5,2.71,2,0.5,5.25,3,0.67,9.0,4,0.5,11.0,0,0.0,0.0,5,0.6,4.22,0,0.0,0.0,4,0.5,5.38,1,1.0,7.0,2,0.5,15.0,18,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41194,1,3,0.67,4.0,0,0.0,0.0,2,1.0,2.43,1,0.0,2.33,1,0.0,1.0,0,0.0,0.0,0,0.0,0.0,1,1.0,6.0,0,0.0,0.0,1,1.0,8.0,6,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,2,1,2,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
