game,blueTopChampion,blueTopGP,blueTopWR,blueTopKDA,blueJungleChampion,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidChampion,blueMidGP,blueMidWR,blueMidKDA,blueADCChampion,blueADCGP,blueADCWR,blueADCKDA,blueSupportChampion,blueSupportGP,blueSupportWR,blueSupportKDA,redTopChampion,redTopGP,redTopWR,redTopKDA,redJungleChampion,redJungleGP,redJungleWR,redJungleKDA,redMidChampion,redMidGP,redMidWR,redMidKDA,redAdcChampion,redAdcGP,redAdcWR,redAdcKDA,redSupportChampion,redSupportGP,redSupportWR,redSupportKDA,result
LOLTMNT01_43689,Aatrox,2,0.5,5.4,Rell,5,0.6,24.0,Azir,3,0.67,6.6,Senna,0,0,0,Tahm Kench,2,0.5,5.0,Yone,2,1.0,1.1,Viego,1,1.0,3.0,Neeko,1,1.0,0.83,Varus,3,1.0,1.0,Rakan,0,0,0,1
LOLTMNT03_34248,Renekton,0,0,0,Sejuani,0,0,0,Azir,0,0,0,Kalista,0,0,0,Renata Glasc,0,0,0,Aatrox,0,0,0,Taliyah,0,0,0,Neeko,0,0,0,Varus,0,0,0,Rell,0,0,0,1
LOLTMNT01_46166,Aatrox,0,0,0,Nocturne,0,0,0,Orianna,0,0,0,Kalista,0,0,0,Renata Glasc,0,0,0,Udyr,3,0.67,2.86,Poppy,1,1.0,7.0,Azir,1,1.0,9.0,Lucian,1,1.0,0.67,Milio,0,0,0,0
LOLTMNT01_43666,Aatrox,2,0.5,5.4,Rell,5,0.6,24.0,Neeko,2,0.5,14.0,Kai'Sa,2,1.0,12.0,Leona,2,1.0,23.0,Irelia,1,1.0,2.29,Sejuani,0,0,0,Azir,2,1.0,0.83,Varus,3,1.0,1.0,Alistar,0,0,0,1
LOLTMNT01_58277,K'Sante,2,1.0,1.4,Lee Sin,2,1.0,5.8,Hwei,1,0.0,8,Senna,2,1.0,4.0,Maokai,2,1.0,6.0,Aatrox,4,0.75,5.4,Viego,1,1.0,6.5,Orianna,3,1.0,6.0,Xayah,3,0.67,12.5,Leona,3,1.0,13.33,0
LOLTMNT04_26332,Gnar,0,0,0,Xin Zhao,5,0.2,6.7,Orianna,4,0.5,20.0,Varus,5,0.4,8.12,Blitzcrank,4,0.5,6.6,Yasuo,1,1.0,8.0,Lillia,2,0.5,32.0,K'Sante,0,0,0,Kalista,2,1.0,4.6,Braum,1,1.0,4.5,0
LOLTMNT02_25131,K'Sante,0,0,0,Nocturne,0,0,0,Orianna,0,0,0,Xayah,0,0,0,Rakan,0,0,0,Jax,0,0,0,Rell,0,0,0,Akali,0,0,0,Varus,0,0,0,Tahm Kench,0,0,0,0
LOLTMNT03_33182,Rumble,0,0,0,Vi,0,0,0,Akali,0,0,0,Lucian,0,0,0,Nami,0,0,0,Udyr,0,0,0,Xin Zhao,0,0,0,Orianna,0,0,0,Aphelios,0,0,0,Milio,0,0,0,1
LOLTMNT01_45949,Aatrox,0,0,0,Viego,0,0,0,Syndra,0,0,0,Senna,0,0,0,Tahm Kench,0,0,0,Gragas,0,0,0,Maokai,1,0.0,15,Tristana,0,0,0,Aphelios,0,0,0,Bard,0,0,0,0
LOLTMNT04_28070,Jayce,2,0.5,2.67,Alistar,0,0,0,Taliyah,1,1.0,17.0,Varus,1,1.0,6.5,Rell,0,0,0,Gragas,0,0,0,Lillia,3,0.33,47.0,Azir,4,1.0,4.86,Senna,2,1.0,37,Nautilus,3,0.67,2.25,0
LOLTMNT04_24264,Zac,0,0,0,Vi,3,0.67,2.75,Azir,1,1.0,10.0,Senna,0,0,0,Maokai,0,0,0,Aatrox,3,0.33,5.0,Xin Zhao,3,0.33,5.86,Sylas,0,0,0,Ezreal,0,0,0,Yuumi,0,0,0,1
LOLTMNT02_30796,Jax,1,0.0,5.5,Lee Sin,0,0,0,Neeko,0,0,0,Kai'Sa,0,0,0,Nautilus,1,1.0,10,Udyr,0,0,0,Viego,0,0,0,LeBlanc,0,0,0,Varus,0,0,0,Alistar,0,0,0,1
