game,league,blueteam,redteam,golId,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38
ESPORTSTMNT03_2630695,LCSA,Wildcard Gaming,100 Thieves Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2661972,VL,Pirate Dream,GeekSide Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2661977,LMF,EBRO,KRÜ Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2630703,LCSA,Wildcard Gaming,100 Thieves Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2671831,LVP DDH,Six Karma,The Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2671832,SL,Cienciano Esports,Diamond Doves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2661987,VL,GeekSide Esports,Pirate Dream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2671835,LVP DDH,Six Karma,The Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2661988,VL,Pirate Dream,GeekSide Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2671837,LVP DDH,The Kings,Six Karma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2671839,LVP DDH,Six Karma,The Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2671865,LCK CL,DWG KIA Challengers,DRX Challengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662032,LCK CL,Kwangdong Freecs Challengers,Hanwha Life Esports Challengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662033,LCK CL,T1 Challengers,Liiv SANDBOX Challengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2671880,LCK,DRX,DWG KIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662077,LCK,DRX,DWG KIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2630752,PCS,Hurricane Gaming,J Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662096,LCK,Kwangdong Freecs,Hanwha Life Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2800386,VCS,Team Flash,Team Secret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2630755,PCS,CTBC Flying Oyster,Meta Falcon Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2800387,VCS,Team Secret,Team Flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2630763,PCS,Frank Esports,Deep Cross Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662116,LCK,Hanwha Life Esports,Kwangdong Freecs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2630768,PCS,Beyond Gaming,SEM9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT02_2662130,LCK,Kwangdong Freecs,Hanwha Life Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01_2800395,VCS,CERBERUS Esports,Luxury Esports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT03_2630776,PCS,PSG Talon,Impunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
